40,infeasible,infeasible,0,0.14308095,13.28638985,14.85633516,14.19509578,20.61100006,23.68022189,8.187932968,19.97821805,29.53772807,20.23023528,12.43309212,14.84888437,10.03983712,14.30097608,15.29074812,21.31668647,14.32951093
41,infeasible,infeasible,23.70901871,11.84645319,16.0392293,7.682140827,10.64387415,2.595054865,infeasible,infeasible,22.48378662,18.16029406,infeasible,infeasible,0,0.133967876,20.3787368,19.34102583,17.81706638,15.44048595
42,infeasible,infeasible,11.99127797,1.572544813,6.058294441,0.901936054,8.427795186,1.086066008,0,0.122184992,infeasible,infeasible,16.10013578,2.207285881,5.134848119,0.48228693,4.903750427,0.348062038,2.062112354,0.356352806
43,20.62700175,4.423735857,15.7605824,5.546876192,0,0.131337881,17.43171446,15.44996691,21.18208653,6.262813091,21.06082836,15.16939402,17.21580448,13.60733891,21.59697859,4.093255043,20.02098072,8.193509102,24.32914399,6.70442009
44,infeasible,infeasible,13.45716831,1.237303972,14.08441001,4.113382101,0,0.116127014,22.86244917,3.571455002,12.83505216,3.019623041,19.55135172,3.412876844,infeasible,infeasible,17.60605313,2.327641964,23.48928695,4.104098082
45,14.655825,2.57721591,20.54305661,2.063227892,19.81869926,3.663315058,9.687727702,2.373059988,21.99132095,3.873145819,0,0.166292906,17.55300927,2.370065928,infeasible,infeasible,13.98719804,4.446235895,20.5371801,21.55333018
46,infeasible,infeasible,0,0.153974056,8.095121499,1.682684898,5.393326203,0.991492987,infeasible,infeasible,16.50141312,11.04466319,21.73635983,2.129401922,20.55046363,12.90557885,18.53929774,2.472936153,24.77488978,12.71777201
47,23.62313875,17.90591192,22.40457364,9.269393921,0,0.244544029,19.67886975,17.363343,22.01304579,7.167541027,24.39168521,11.96771312,15.20903722,12.02837181,infeasible,infeasible,22.55774813,12.54054785,infeasible,infeasible
48,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,21.2222259,1.581763029,0,0.126953125,22.75351871,3.148481846,21.86847842,2.065474033,infeasible,infeasible,12.49896565,1.044577122,22.86224252,7.653577089
49,21.62769925,14.57185006,infeasible,infeasible,17.31293955,12.66524315,17.9044681,2.868539095,0,0.105257034,22.35689832,4.975659847,20.91197122,14.40371895,17.75226697,12.86866307,17.42998072,2.574902058,16.26766221,7.883929014
